Year, Artist, Link, Title, Credit
2020, Damp, https://thisbandisdamp.bandcamp.com/album/damp, Damp, "Additional Guitar"
2018, Washer, https://okwasher.bandcamp.com/album/bethlehem-steel-washer-split, Bethlehem Steel / Washer Split 7", "Songwriting, Production, Art, Graphic Design"
2018, Big Ups, https://bigups.bandcamp.com/album/two-parts-together, Two Parts Together, "Additional Percussion"
2017, Washer, https://okwasher.bandcamp.com/album/all-aboard, All Aboard, "Songwriting, Production, Art, Graphic Design"
2017, E.I.S., http://www.explodinginsoundrecords.com/products/591017-exploding-in-sound-live-at-shea-stadium, E.I.S. Live @ Shea Stadium, "Addl. Graphic Design and performance of "Beansy" by Washer"
2016, Washer, https://okwasher.bandcamp.com/album/here-comes-washer, Here Comes Washer, "Songwriting, Production, Art, Graphic Design"
2015, Washer, https://okwasher.bandcamp.com/album/flagland-washer-split-7, Flagland / Washer Split 7", "Songwriting, Production, Graphic Design"
2014, Washer, https://okwasher.bandcamp.com/album/big-ups-washer-split-7, Big Ups / Washer Split 7", "Songwriting, Production, Graphic Design"
2014, Shakes, https://shakesnj.bandcamp.com/album/the-same-7, The Same 7", "Production"
2014, Washer, https://okwasher.bandcamp.com/album/bighead-ep, Bighead EP, "Songwriting, Production, Art, Graphic Design"
2013, Mike Quigley, https://boogerspit.bandcamp.com/album/okay-alright, okay || alright, "Songwriting, Production, Art, Graphic Design"
2013, clownfacee, https://clownfacee.bandcamp.com/album/fear-or-favor, Fear or Favor, "Songwriting, Recording, Production, Art, Graphic Design"
2012, Noble Hunter, https://noblehunter.bandcamp.com/album/noble-hunter-2, Noble Hunter, "Guitar, Vocals"
2012, Incorporated Village of Ghost, https://ivog.bandcamp.com/album/fuck-it-im-a-flamethrower, "Fuck It, I'm A Flamethrower", "Recording, Mixing, Production"
2011, clownfacee, https://clownfacee.bandcamp.com/album/winter-ep, Winter EP, "Songwriting, Recording, Mixing, Production, Art, Graphic Design"